key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-433008536,Erratum: Incorrect Terminology in Table 2: Preferred reporting items for a systematic review and meta-analysis of diagnostic test accuracy studies: The PRISMA-DTA statement. (JAMA. (2018) 319:4 (388-396) (doi: 10.1001/jama.2017.19163)),2019,NA,1,JAMA,00987484 (ISSN); 15383598 (ISSN),322,20,2026,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075552886&doi=10.1001%2Fjama.2019.18307&partnerID=40&md5=5f2eedd2021f53879861621da0cf76cf,English,American Medical Association smcleod@itsa.ucsf.edu,,"In the Special Communication entitled ""Preferred Reporting Items for a Systematic Review and Meta-analysis of Diagnostic Test Accuracy Studies: The PRISMA-DTA Statement""1 published in the January 23/30, 2018, issue of JAMA, incorrect terminology appeared in Table 2. In Table 2, in the ninth row up from the bottom of the table, ""Results of individual studies b,"" ""receiver operating characteristic curve"" should have been ""receiver operating characteristic plot."" This article was corrected online. © 2019 Elsevier B.V., All rights reserved.",Export Date: 19 September 2025; Cited By: 3; CODEN: JAMAA,10.1001/jama.2019.18307,Erratum;erratum,NA,
rayyan-433008537,The EQUATOR Network and the PRISMA Statement for the reporting of systematic reviews and meta-analyses,2009,12,1,PHYSIOTHERAPY,0031-9406,95,4,237-240,"Harms, Michele",,English,ELSEVIER SCI LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND",,,10.1016/j.physio.2009.10.001,,NA,
rayyan-433008538,Updating guidance for reporting systematic reviews: development of the PRISMA 2020 statement,2021,6,1,JOURNAL OF CLINICAL EPIDEMIOLOGY,0895-4356,134,NA,103-112,"Page, Matthew J. and McKenzie, Joanne E. and Bossuyt, Patrick M. and Boutron, Isabelle and Hoffmann, Tammy C. and Mulrow, Cynthia D. and Shamseer, Larissa and Tetzlaff, Jennifer M. and Moher, David",,English,ELSEVIER SCIENCE INC,"STE 800, 230 PARK AVE, NEW YORK, NY 10169 USA","Objectives: To describe the processes used to update the PRISMA 2009 statement for reporting systematic reviews, present results of a survey conducted to inform the update, summarize decisions made at the PRISMA update meeting, and describe and justify changes made to the guideline.\& nbsp; Methods: We reviewed 60 documents with reporting guidance for systematic reviews to generate suggested modifications to the PRISMA 2009 statement. We invited 220 systematic review methodologists and journal editors to complete a survey about the suggested modifications. The results of these projects were discussed at a 21-member in-person meeting. Following the meeting, we drafted the PRISMA 2020 statement and refined it based on feedback from co-authors and a convenience sample of 15 systematic reviewers.\& nbsp; Results: The review of 60 documents revealed that all topics addressed by the PRISMA 2009 statement could be modified. Of the 110 survey respondents, more than 66\% recommended keeping six of the original checklist items as they were and modifying 15 of them using wording suggested by us. Attendees at the in-person meeting supported the revised wording for several items but suggested rewording for most to enhance clarity, and further refinements were made over six drafts of the guideline.\& nbsp; Conclusions: The PRISMA 2020 statement consists of updated reporting guidance for systematic reviews. We hope that providing this detailed description of the development process will enhance the acceptance and uptake of the guideline and assist those developing and updating future reporting guidelines. (c) 2021 Elsevier Inc. All rights reserved.",,10.1016/j.jclinepi.2021.02.003,Systematic reviews;Meta-analysis;Reporting guidelines;Transparency;Reproducibility,NA,
rayyan-433008539,The PRISMA Statement - what should be reported about systematic reviews?,2009,8,1,DEUTSCHE MEDIZINISCHE WOCHENSCHRIFT,0012-0472,134,33,1619,"Antes, G. and von Elm, E.",,German,GEORG THIEME VERLAG KG,"RUDIGERSTR 14, D-70469 STUTTGART, GERMANY",,,10.1055/s-0029-1233989,Systematic review;PRISMA Statement;QUOROM Statement;Evidence-based medicine,NA,
rayyan-433008540,Investigation of nutritional and functional effects of rice bran protein hydrolysates by using Preferred Reporting Items for Systematic Reviews and Meta-Analysis (PRISMA) guidelines: A review,2021,4,1,TRENDS IN FOOD SCIENCE \& TECHNOLOGY,0924-2244,110,NA,798-811,"Gong, Xi and Sui, Limin and Morton, James and Brennan, Margaret Anne and Brennan, Charles Stephen",,English,ELSEVIER SCIENCE LONDON,"84 THEOBALDS RD, LONDON WC1X 8RR, ENGLAND","Background: Rice bran protein hydrolysates (RBPHs) are peptides hydrolysed by different enzymes on rice bran protein (RBP). Protein hydrolysis cleaves storage proteins at either C-terminal or N-terminal of peptide bonds producing unique peptide sequences with various nutritional and functional properties as well as amino acids with aromatic, hydrophobic and charged ends. Scope and approach: The Web of Science database was searched for studies published between 2014 and 2019 using Preferred Reporting Items for Systematic Reviews and Meta-Analysis (PRISMA) guidelines in order to investigate the relationship between RBPHs and functional/health outcomes. The aim of this review is to reinforce and summarise the protective role of RBPHs as an antioxidant, an antidiabetic agent and an Angiotensinconverting enzyme (ACE) inhibitor with other nutritional properties and functional properties. Key findings and conclusions: RBP cleaved by different enzymes produces low molecular weight (MW) antioxidant peptides with radical scavenging activity and metal chelation power. These peptides restrain ACE activity and significantly reduce the intracellular ACE levels in rodent models. These peptides are also antidiabetic as they inhibit amylase, ?- and ?-glucosidase and dipeptidyl peptidase-IV (DPP-IV). They also suppress intracellular glutathione (GSH) levels by down-regulating the expression of a variety of inflammatory factors including 2 (Nrf2), quinone oxidoreductase1 (NQO1) and hemeoxygenase 1 (HO-1). The health promoting effects of antimelanogenesis, antimicrobial, and iron availability enhancement are described. Plus, RBPHs fortified food shows better preservation against lipid oxidation. Nowadays, turning rice mill wastes into the more manageable and sustainable applications has received attentions for their nutritional and functional properties rather than only animal feeds and a source of the biomass fuel. But the application of the rice bran for nutritional purposes is still limited. The high cost of the enzymes and the sensitive nature of peptides are the major industrial concerns. It is expected that the number of rice bran products and their acceptance will increase in the future market.",,10.1016/j.tifs.2021.01.089,Rice bran protein hydrolysates;Hydrolysis;Characterisation;Antioxidant;Diabetes;ACE inhibiti...,NA,
rayyan-433008541,To Be or Not to Be: Addressing of PRISMA Checklist for Reporting Systematic Reviews and Meta-Analyses,2023,10,1,IRANIAN JOURNAL OF PUBLIC HEALTH,2251-6085,52,10,2228-2229,"Amiri, Fatemeh and Shiani, Amir and Mirzaei, Maryam",,English,IRANIAN SCIENTIFIC SOCIETY MEDICAL ENTOMOLOGY,"SCHOOL PUBLIC HEALTH \& INST HEALTH RESEARCH, TEHRAN UNIV MEDICAL SCIENCES, P O BOX  6446-14155, TEHRAN, 00000, IRAN",,,,,NA,
rayyan-433008542,PRISMA declaration: A proposal to improve the publication of systematic reviews and meta-analyses,2010,10,1,MEDICINA CLINICA,0025-7753,135,11,507-511,"Urrutia, Gerard and Bonfill, Xavier",,Spanish,ELSEVIER ESPANA SLU,"AV JOSEP TARRADELLAS, 20-30, 1ERA PLANTA, BARCELONA, CP-08029, SPAIN",,,10.1016/j.medcli.2010.01.015,,NA,
rayyan-433008544,A METHODOLOGICAL APPROACH TO GENOME-WIDE ASSOCIATION STUDY META-ANALYSIS OF POST-TRAUMATIC OSTEOARTHRITIS OF THE KNEE: REPORT FROM THE GO-PTOA WORKING GROUP,2024,4,1,OSTEOARTHRITIS AND CARTILAGE,1063-4584,32,1,S470-S471,"McDonald, Merry-Lynn and Richman, Joshua and Dochtermann, Daniel and Boer, Cindy and Kalsoum, Raneem and Papadaki, Artemis and Barker, Tyler and Briem, Kristin and Hatzikotoulas, Konstantinos and Hollis, Benjamin and Jostins-Dean, Luke and Lemmela, Susanna and Ryhanen, Teemu and Project, FinnGen and Magi, Reedik and Reimann, Ene and Southam, Lorraine and Styrkarsdottir, Unnur and Tiwari, Hemant and Meurs, Joyce V. and Zeggini, Eleftheria and Singh, Jasvinder and Watt, Fiona E. and Team, Estonian Biobank Res and Consortium, Genetics Osteoarthritis",,English,ELSEVIER SCI LTD,"125 London Wall, London, ENGLAND",,"OARSI World Congress on Osteoarthritis, Vienna, AUSTRIA, JAN 01, 2024",,,NA,
rayyan-433008545,PRISMA for Abstracts: Reporting Systematic Reviews in Journal and Conference Abstracts,2013,4,1,PLOS MEDICINE,1549-1277,10,4,,"Beller, Elaine M. and Glasziou, Paul P. and Altman, Douglas G. and Hopewell, Sally and Bastian, Hilda and Chalmers, Iain and Gotzsche, Peter C. and Lasserson, Toby and Tovey, David and Grp, Prisma Abstracts",,English,PUBLIC LIBRARY SCIENCE,"1160 BATTERY STREET, STE 100, SAN FRANCISCO, CA 94111 USA",,,10.1371/journal.pmed.1001419,,NA,
rayyan-433008546,PRISMA 2020 explanation and elaboration: updated guidance and exemplars for reporting systematic reviews,2021,3,1,BMJ-BRITISH MEDICAL JOURNAL,0959-535X,372,NA,,"Page, Matthew J. and Moher, David and Bossuyt, Patrick M. and Boutron, Isabelle and Hoffmann, Tammy C. and Mulrow, Cynthia D. and Shamseer, Larissa and Tetzlaff, Jennifer M. and Akl, Elie A. and Brennan, Sue E. and Chou, Roger and Glanville, Julie and Grimshaw, Jeremy M. and Hrobjartsson, Asbjorn and Lalu, Manoj M. and Li, Tianjing and Loder, Elizabeth W. and Mayo-Wilson, Evan and McDonald, Steve and McGuinness, Luke A. and Stewart, Lesley A. and Thomas, James and Tricco, Andrea C. and Welch, Vivian A. and Whiting, Penny and McKenzie, Joanne E.",,English,BMJ PUBLISHING GROUP,"BRITISH MED ASSOC HOUSE, TAVISTOCK SQUARE, LONDON WC1H 9JR, ENGLAND","The methods and results of systematic reviews should be reported in sufficient detail to allow users to assess the trustworthiness and applicability of the review findings. The Preferred Reporting Items for Systematic reviews and Meta-Analyses (PRISMA) statement was developed to facilitate transparent and complete reporting of systematic reviews and has been updated (to PRISMA 2020) to reflect recent advances in systematic review methodology and terminology. Here, we present the explanation and elaboration paper for PRISMA 2020, where we explain why reporting of each item is recommended, present bullet points that detail the reporting recommendations, and present examples from published reviews. We hope that changes to the content and structure of PRISMA 2020 will facilitate uptake of the guideline and lead to more transparent, complete, and accurate reporting of systematic reviews.",,10.1136/bmj.n160,,NA,
rayyan-433008548,Perception of the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) statement of authors publishing reviews in nursing journals: a cross-sectional online survey,2019,6,1,BMJ OPEN,2044-6055,9,4,,"Tam, Wilson W. S. and Tang, Arthur and Woo, Brigitte and Goh, Shawn Y. S.",,English,BMJ PUBLISHING GROUP,"BRITISH MED ASSOC HOUSE, TAVISTOCK SQUARE, LONDON WC1H 9JR, ENGLAND","Objective The Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) statement has been developed as a guideline for reporting systematic reviews and meta-analyses. Despite the prevalent use of the PRISMA statement in medicine and nursing, no studies have examined authors' perception of it. The purpose of this study is to explore the perception of the PRISMA statement of authors who published reviews, meta-analyses, or both in nursing journals. Design Cross-sectional descriptive study. Methods An online survey was conducted among authors who published reviews, meta-analyses, or both in nursing journals between 2011 and 2017. The selected authors' email addresses were extracted from the PUBMED database. A questionnaire-with a 10-point Likert scale (1-not important at all to 10-very important)-was developed to elicit their responses regarding their perception of not only the PRISMA statement as a whole, but also the individual items therein. Results Invitations were sent to 1960 valid email addresses identified, with 230 responses (response rate: 11.7\%) and 181 completed responses (completion rate: 9.2\%). The average perceived importance of the PRISMA statement was 8.66 (SD=1.35), while the perceived importance for the individual items ranged from 7.74 to 9.32. Six items were rated significantly higher than the average rating, whereas one item was rated significantly lower. Conclusion Most respondents perceived the PRISMA statement as important. Items related to information sources, selection, search-flow presentation, summary of findings, limitations and interpretation were deemed more important while the registration was deemed less so.",,10.1136/bmjopen-2018-026271,,NA,
