concept,shared,unique,total,pct_shared
Report any ethics approval sought for the evidence synthesis,1,2,3,33.33333333333333
Report any reporting guidelines used to prepare the evidence synthesis,1,2,3,33.33333333333333
Report background information on the topic of the evidence synthesis,1,2,3,33.33333333333333
Report each data extraction variable used for moderator analysis,1,2,3,33.33333333333333
Report each intervention for which data were extracted from the included studies,1,2,3,33.33333333333333
Report each population for which data were extracted from the included studies,1,2,3,33.33333333333333
Report each study from which data were collected in the reference list,1,2,3,33.33333333333333
Report how crowdsourcing was incorporated into the literature selection process,1,2,3,33.33333333333333
Report how dependent effect sizes were handled during the study selection process,1,2,3,33.33333333333333
Report how disagreements between reviewers in screening decisions were resolved,1,2,3,33.33333333333333
Report how disagreements between reviewers in the data collection process were resolved,1,2,3,33.33333333333333
Report how missing data in the synthesis was handled in the statistical analyses,1,2,3,33.33333333333333
Report references to previous versions of the evidence synthesis,1,2,3,33.33333333333333
Report the abstract in a structured format,1,2,3,33.33333333333333
Report the characteristics extracted from each of the included studies,1,2,3,33.33333333333333
Report the consistency of study selection process outcomes between reviewers,1,2,3,33.33333333333333
Report the contact details for each author,1,2,3,33.33333333333333
Report the contribution of each author to the review,1,2,3,33.33333333333333
Report the counts of events and non-events in each study included in the meta-analysis,1,2,3,33.33333333333333
Report the data extraction strategy used in the review,1,2,3,33.33333333333333
Report the date the citation search was conducted,1,2,3,33.33333333333333
Report the dependency structure accounted for in the meta-analysis,1,2,3,33.33333333333333
Report the description for each of the data extraction variables,1,2,3,33.33333333333333
Report the eligibility criteria used to determine study inclusion in each meta-analysis,1,2,3,33.33333333333333
Report the experience of the people who conducted the study selection process,1,2,3,33.33333333333333
Report the full code used to conduct the analysis of the evidence synthesis,1,2,3,33.33333333333333
Report the full name of each author,1,2,3,33.33333333333333
Report the generalisability of the results of the evidence synthesis,1,2,3,33.33333333333333
Report the hypothesis addressed by the evidence synthesis,1,2,3,33.33333333333333
Report the institutional affiliation of each author,1,2,3,33.33333333333333
Report the method used to assess consistency of data extraction between the reviewers who conducted screening,1,2,3,33.33333333333333
Report the method used to assess the certainty of the evidence,1,2,3,33.33333333333333
Report the method used to determine which eligible studies were included in each meta-analysis,1,2,3,33.33333333333333
Report the method used to handle missing data in the meta-analysis,1,2,3,33.33333333333333
Report the method used to obtain posterior inferences,1,2,3,33.33333333333333
Report the moderator variables included in the meta-regression,1,2,3,33.33333333333333
Report the outcomes used in each study included in the evidence synthesis,1,2,3,33.33333333333333
Report the p-value associated with the pooled effect size point estimate,1,2,3,33.33333333333333
Report the rationale for including the selected interventions in the studies included in the evidence synthesis,1,2,3,33.33333333333333
Report the rationale for selecting each moderator variable,1,2,3,33.33333333333333
Report the rationale for selecting each of the data extraction variables,1,2,3,33.33333333333333
Report the rationale for selecting the methodology used to conduct the evidence synthesis,1,2,3,33.33333333333333
Report the rationale for selecting the strategy used to perform the meta-analysis,1,2,3,33.33333333333333
Report the rationale for selecting the studies that were used to conduct the citation search,1,2,3,33.33333333333333
Report the rationale for selecting the study design of each study included in the evidence synthesis,1,2,3,33.33333333333333
Report the rationale for the eligibility criteria in the evidence synthesis,1,2,3,33.33333333333333
Report the relevant geographical locations in the eligibility criteria of the evidence synthesis,1,2,3,33.33333333333333
Report the relevant languages in the eligibility criteria of the evidence synthesis,1,2,3,33.33333333333333
Report the relevant outcomes in the eligibility criteria of the evidence synthesis,1,2,3,33.33333333333333
Report the relevant publication status in the eligibility criteria of the evidence synthesis,1,2,3,33.33333333333333
Report the results from the model selection process,1,2,3,33.33333333333333
Report the results of the overall statistical syntheses,1,2,3,33.33333333333333
Report the software used to manage screening decisions during the study selection process,1,2,3,33.33333333333333
Report the source of the data extracted,1,2,3,33.33333333333333
Report the strategy to perform the individual patient data meta-analysis,1,2,3,33.33333333333333
Report the strategy to retrieve grey literature,1,2,3,33.33333333333333
Report the strategy used to collect data from the studies in additional languages,1,2,3,33.33333333333333
Report the strategy used to estimate the comprehensiveness of the literature search,1,2,3,33.33333333333333
Report the strategy used to perform the qualitative synthesis,1,2,3,33.33333333333333
Report the strategy used to select literature in additional languages,1,2,3,33.33333333333333
Report the study design of each study included in the evidence synthesis,1,2,3,33.33333333333333
Report the timeframe in which data were extracted,1,2,3,33.33333333333333
Report the version number of the software used to perform the meta-analysis,1,2,3,33.33333333333333
Report whether individual patient (or equivalent) data was extracted,1,2,3,33.33333333333333
Report which estimator was used to calculate the between-study variance,1,2,3,33.33333333333333
Report a discussion of the results,0,2,2,0
Report a flow diagram summarising the outcomes of the study selection process,0,2,2,0
Report a justification for any anticipated changes to the review in future versions,0,2,2,0
Report a logic model used in each study included in the evidence synthesis,0,2,2,0
Report a plain-language statement for the general public,0,2,2,0
Report a summary of the evidence included in the evidence synthesis,0,2,2,0
Report a table of the characteristics of each of the studies included in the evidence synthesis,0,2,2,0
Report a visualisation of the characteristics from each of the studies included in the evidence synthesis,0,2,2,0
Report a visualisation of the heterogeneity assessment results,0,2,2,0
Report an evaluation of the interventions used in each study included in the evidence synthesis,0,2,2,0
Report an explanation of how the interventions used in each study included in the evidence synthesis may work,0,2,2,0
Report an interpretation of the certainty of evidence assessment results,0,2,2,0
Report an interpretation of the effect size measure used,0,2,2,0
Report an interpretation of the heterogeneity assessment results,0,2,2,0
Report an interpretation of the publication bias assessment results,0,2,2,0
Report an interpretation of the risk of bias assessment results,0,2,2,0
Report an interpretation of the use of alternative priors,0,2,2,0
Report any additional studies found when updating the literature search strategy,0,2,2,0
Report any alternative effect measures used as part of a sensitivity analysis,0,2,2,0
Report any anticipated changes to the review in future versions of the review,0,2,2,0
Report any assumptions made about the interventions used in each study included in the evidence synthesis,0,2,2,0
Report any changes made to the methodology since the previous version of the review,0,2,2,0
Report any changes to the screening process results during the update of the review,0,2,2,0
Report any corrections applied to the effect size measure used,0,2,2,0
Report any identified issues with the individual patient data items extracted,0,2,2,0
Report any issues identified in the individual patient data,0,2,2,0
Report any limitations identified in the studies included in the review,0,2,2,0
Report any limitations in the characteristics of the studies included in the evidence synthesis,0,2,2,0
Report any peer-review process used to assess the comprehensiveness of the literature search,0,2,2,0
Report any remaining gaps in understanding identified following the review,0,2,2,0
Report any restrictions on the literature search strategy,0,2,2,0
Report any strengths in the conducted evidence synthesis,0,2,2,0
Report any tool(s) used to translate the scientific literature database search strings into additional languages,0,2,2,0
Report any update to the search strategy undertaken during the evidence synthesis,0,2,2,0
Report each comparator from which data were extracted in the included studies,0,2,2,0
Report each study design for which data were extracted from the included studies,0,2,2,0
Report how agreement between reviewers for the risk of bias assessment outcomes was calculated,0,2,2,0
Report how any conflicts of interest were managed,0,2,2,0
Report how articles authored by the screening team were handled during the selection process,0,2,2,0
Report how dependent effect sizes were handled during the data collection process,0,2,2,0
Report how disadvantage was defined in the rationale for the evidence synthesis,0,2,2,0
Report how disagreements between reviewers in the certainty assessment were resolved,0,2,2,0
Report how disagreements between reviewers in the risk of bias assessment were resolved,0,2,2,0
Report how the internally classified automation tool(s) for the data collection process were trained,0,2,2,0
Report how the internally classified automation tool(s) for the data collection process were validated,0,2,2,0
Report how the internally classified automation tool(s) used in the certainty assessment were trained,0,2,2,0
Report how the internally classified automation tool(s) used in the certainty assessment were validated,0,2,2,0
Report how the internally classified automation tool(s) used in the literature selection process was trained,0,2,2,0
Report how the internally classified automation tool(s) used in the literature selection process was validated,0,2,2,0
Report how the risk of bias assessment was incorporated into the meta-analysis,0,2,2,0
Report how the risk of bias assessment was piloted,0,2,2,0
Report method to visualise the results from the certainty of the evidence assessment,0,2,2,0
Report quotations for each of the characteristics extracted from each of the studies included in the evidence synthesis,0,2,2,0
Report quotations for each of the data extraction variables,0,2,2,0
Report references to previously published evidence syntheses on the topic,0,2,2,0
Report the agreement rate between reviewers who conducted the study selection process,0,2,2,0
Report the agreement rate between the reviewers who conducted the data collection process,0,2,2,0
Report the arguments specified for each function used in the software to perform the meta-analysis,0,2,2,0
Report the aspects of the studies examined for eligibility,0,2,2,0
Report the automation tool(s) used in the literature selection process,0,2,2,0
Report the bibliographic fields that were searched in each scientific literature database,0,2,2,0
Report the comparators used in each study included in the evidence synthesis,0,2,2,0
Report the conceptual structure used to design the search terms in each scientific literature database,0,2,2,0
Report the conditions under which the extracted data are available,0,2,2,0
Report the contact details each corresponding author,0,2,2,0
Report the experience of each of the people which conducted the literature search,0,2,2,0
Report the experience of the reviewers who conducted the data collection process,0,2,2,0
Report the experience of the reviewers who conducted the literature search,0,2,2,0
Report the extracted description for each data extraction variable from each included study,0,2,2,0
Report the formula used to calculate the sampling variance of the effect size measure,0,2,2,0
Report the functions used in the analysis software for the meta-analysis,0,2,2,0
Report the graphical output used to assess risk of bias due to missing results,0,2,2,0
Report the implications of missing data for the results of the evidence synthesis,0,2,2,0
Report the implications of the evidence synthesis results for educators,0,2,2,0
Report the institutional subscriptions used to access the scientific literature databases,0,2,2,0
Report the keywords used in the evidence synthesis,0,2,2,0
Report the languages used to search the registries,0,2,2,0
Report the languages used to search the scientific literature databases,0,2,2,0
Report the magnitude of the pooled effect size point estimate,0,2,2,0
Report the measures of model performance,0,2,2,0
Report the measures used to assess model performance,0,2,2,0
Report the method used to account for heteroscedasticity in effect size measures,0,2,2,0
Report the method used to assess consistency between reviewers who conducted the study selection process,0,2,2,0
Report the method used to assess for potential risk of bias due to missing studies,0,2,2,0
Report the method used to calculate the fragility index for the meta-analysis,0,2,2,0
Report the method used to identify outlying or influential studies,0,2,2,0
Report the methodology used to assess the certainty of evidence included in the review,0,2,2,0
Report the methodology used to assess the certainty of the evidence included in the review,0,2,2,0
Report the methodology used to conduct the evidence synthesis in the keywords,0,2,2,0
Report the methodology used to explore sources of heterogeneity,0,2,2,0
Report the methodology used to identify key knowledge gaps among the included data characteristics,0,2,2,0
Report the methodology used to update the literature search strategy,0,2,2,0
Report the number of individual patient data items extracted,0,2,2,0
Report the number of records remaining after duplicate removal,0,2,2,0
Report the number of reviewers who conducted the certainty assessment,0,2,2,0
Report the number of studies for which data collection was cross-checked,0,2,2,0
Report the number of studies included in the meta-analysis,0,2,2,0
Report the number of studies screened by more than one reviewer,0,2,2,0
Report the p-value associated with the statistical test for risk of bias due to missing results,0,2,2,0
Report the parameters that define the living review mode,0,2,2,0
Report the people who conducted the meta-analysis,0,2,2,0
Report the performance of any automation tool(s) used in the assessment of risk of bias due to missing results,0,2,2,0
Report the performance of the automation tool(s) used assess the certainty of evidence,0,2,2,0
Report the planned retirement for the review,0,2,2,0
Report the planned schedule for updating the review,0,2,2,0
Report the planned timeline for the evidence synthesis as specified in the protocol,0,2,2,0
Report the pooled effect size point estimate for any analyses used to explore sources of heterogeneity,0,2,2,0
Report the potential impact of the limitations in the evidence synthesis process,0,2,2,0
Report the potential implications of the results of the evidence synthesis,0,2,2,0
Report the primary results of the review,0,2,2,0
Report the prior distribution(s) specified for a Bayesian meta-analysis,0,2,2,0
Report the process used to select among candidate models,0,2,2,0
Report the purpose of the literature search strategy,0,2,2,0
Report the qualifications of each author,0,2,2,0
Report the rationale for each risk of bias assessment judgement,0,2,2,0
Report the rationale for including each study in relation to the objectives of the review,0,2,2,0
Report the rationale for not conducting a meta-analysis,0,2,2,0
Report the rationale for selecting study authors to contact for additional information,0,2,2,0
Report the rationale for selecting the effect size measure used,0,2,2,0
Report the rationale for selecting the method used to visualise the results of the meta-analysis,0,2,2,0
Report the rationale for selecting the moderator variables included in the evidence synthesis,0,2,2,0
Report the rationale for selecting the scientific literature databases used to conduct the literature search,0,2,2,0
Report the rationale for selecting the tool(s) used to conduct the risk of bias assessment,0,2,2,0
Report the rationale for the assumed dependency structure accounted for in the meta-analysis,0,2,2,0
Report the rationale for the method used to handle missing data in the meta-analysis,0,2,2,0
Report the rationale for the results of the certainty of evidence assessement used in the review,0,2,2,0
Report the reason for exclusion for each study rejected at full-text screening,0,2,2,0
Report the records rejected by the automation tool(s) during the literature screening process,0,2,2,0
Report the records rejected by the automation tool(s) during the literature selection process,0,2,2,0
Report the relationship between each of the study characteristics,0,2,2,0
Report the relevant data formats in the eligibility criteria of the evidence synthesis,0,2,2,0
Report the reliability of the collected items based on challenges during the data collection process,0,2,2,0
Report the reliability of the conclusion in the evidence synthesis,0,2,2,0
Report the response rate of authors who were contacted for data collection,0,2,2,0
Report the results of any analysis conducted due to the living mode,0,2,2,0
Report the results of the qualitative syntheses,0,2,2,0
Report the reuse of literature search strategies from other evidence syntheses,0,2,2,0
Report the role of stakeholders in formulating the objectives of the evidence synthesis,0,2,2,0
Report the screening decisions made by each reviewer who conducted the study selection process,0,2,2,0
Report the search strategy used to identify grey literature,0,2,2,0
Report the software used to deduplicate the search records during the literature search,0,2,2,0
Report the sources of information the literature search strategy sought,0,2,2,0
Report the statistical power of the meta-analysis,0,2,2,0
Report the statistical significance of the results of any analyses used to explore sources of heterogeneity,0,2,2,0
Report the strategy for the data collection process,0,2,2,0
Report the strategy used to deduplicate the search records during the scientific database search,0,2,2,0
Report the strategy used to develop the scientific literature database search string,0,2,2,0
Report the strategy used to retrieve information from potentially relevant authors.,0,2,2,0
Report the strategy used to search for literature in additional languages,0,2,2,0
Report the structure of each model used in the meta-analysis,0,2,2,0
Report the studies included in the meta-analysis,0,2,2,0
Report the tool used to conduct the risk of bias assessment,0,2,2,0
Report the total number of authors contacted for information regarding the study selection process,0,2,2,0
Report the total number of authors who were contacted for information regarding the data collection process,0,2,2,0
Report the total number of organisational websites used to conduct the literature search,0,2,2,0
Report the total number of people which conducted the literature search,0,2,2,0
Report the total number of registries used to conduct the literature search,0,2,2,0
Report the total number of scientific literature databases used to conduct the literature search,0,2,2,0
Report the total number of studies used in the heterogeneiety investigation,0,2,2,0
Report the type of data extracted from each of the included studies,0,2,2,0
Report the unit of replication,0,2,2,0
Report the use of any internally classified automation tool(s) in the data collection process,0,2,2,0
Report the use of any internally classified automation tool(s) in the literature selection process,0,2,2,0
Report the use of automation tool(s) in designing the search string(s) in the literature database search,0,2,2,0
Report the use of automation tool(s) in the certainty of evidence assessment,0,2,2,0
Report the use of automation tool(s) in the risk of bias assessment,0,2,2,0
Report the use of automation tool(s) in the the assessment of risk of bias due to missing results,0,2,2,0
Report the use of controlled-vocabulary term explosion in the search strategy,0,2,2,0
Report the use of crowdsourcing in the literature selection process,0,2,2,0
Report the use of previously screened databases in the literature screening process,0,2,2,0
Report the version of automation tool(s) used in the literature selection process,0,2,2,0
Report the version of the internally classified automation tool(s) used in the data collection process,0,2,2,0
Report the version of the internally classified automation tool(s) used in the literature selection process,0,2,2,0
Report the version of the scientific literature databases used to conduct the literature search,0,2,2,0
Report the weighting scheme used to assign weight to each effect size estimate,0,2,2,0
Report the year that the studies used to conduct the citation search were published,0,2,2,0
Report what triggered the current version of the living systematic review,0,2,2,0
Report whether a previously extracted dataset was used in the data collection process,0,2,2,0
Report whether any of the analysis were not pre-specified,0,2,2,0
Report whether any of the planned analysis could not be performed,0,2,2,0
Report whether any of the sensitivity analysis were not pre-specified,0,2,2,0
Report whether certainty of evidence was conducted independently,0,2,2,0
Report whether the contacted authors provided the data in its entirity or only a proportion,0,2,2,0
Report whether the data extraction variables were selected a priori,0,2,2,0
Report whether the literature search strategy was systematic,0,2,2,0
Report whether the literature search was comprehensive,0,2,2,0
Report whether the prior distribution(s) were specified before data collection,0,2,2,0
