concept,n_groups_present,pct_groups_present,tier
Report the methodology used to explore sources of heterogeneity,3,30,Common (25-75% groups)
Report the methodology used to prepare the data for statistical synthesis,3,30,Common (25-75% groups)
Report the rationale for selecting the scientific literature databases used in the literature search,3,30,Common (25-75% groups)
Report the reason for exclusion for each study rejected at full-text screening,3,30,Common (25-75% groups)
Report the relevant comparators in eligiblity criteria of the review,3,30,Common (25-75% groups)
Report the relevant geographical locations in eligiblity criteria of the review,3,30,Common (25-75% groups)
Report the relevant interventions in eligiblity criteria of the review,3,30,Common (25-75% groups)
Report the relevant languages in the eligibility criteria in the review,3,30,Common (25-75% groups)
Report the results from each of the sensitivity analysis,3,30,Common (25-75% groups)
Report the strategy to perfom the literature search,3,30,Common (25-75% groups)
Report the strategy used to address reports not published in the primary language of the review in the study selection process,3,30,Common (25-75% groups)
Report the total number of people which conducted the literature search,3,30,Common (25-75% groups)
Report whether a protocol or preregistration is publicly available,3,30,Common (25-75% groups)
Report whether the literature screening was conducted independently,3,30,Common (25-75% groups)
Report a visualisation of the characteristics from each of the included studies,2,20,Peripheral (<25% groups)
Report any additional analyses conducted in the review,2,20,Peripheral (<25% groups)
Report any additional literature search strategies used in the review,2,20,Peripheral (<25% groups)
Report any contact with study authors to retrieve additional information relevant to the data collection process,2,20,Peripheral (<25% groups)
Report background information on the topic of the review,2,20,Peripheral (<25% groups)
Report each study from which data were collected in the reference list,2,20,Peripheral (<25% groups)
Report quotations for each of the characteristics extracted from each of the included studies,2,20,Peripheral (<25% groups)
Report the abstract in a structured format,2,20,Peripheral (<25% groups)
Report the agreement rate between the reviewers who conducted the data collection process,2,20,Peripheral (<25% groups)
Report the aspects of the studies examined for eligibility,2,20,Peripheral (<25% groups)
Report the contact details for each author,2,20,Peripheral (<25% groups)
Report the contribution of each author to the review,2,20,Peripheral (<25% groups)
Report the data characteristics of studies included in the statistical synthesis,2,20,Peripheral (<25% groups)
Report the data extraction strategy used in the review,2,20,Peripheral (<25% groups)
Report the description for all of the data extraction variables,2,20,Peripheral (<25% groups)
Report the error around the pooled effect size point estimate,2,20,Peripheral (<25% groups)
Report the experience of each of the people which conducted the literature search,2,20,Peripheral (<25% groups)
Report the languages used in the scientific literature databases,2,20,Peripheral (<25% groups)
Report the method used in sensitivity analysis to test the robustness of the results,2,20,Peripheral (<25% groups)
Report the method used to visualise the results of the synthesis,2,20,Peripheral (<25% groups)
Report the moderator variables included in the meta-regression analysis,2,20,Peripheral (<25% groups)
Report the number of reviewers who conducted the data collection process,2,20,Peripheral (<25% groups)
Report the number of reviewers who conducted the risk of bias assessment,2,20,Peripheral (<25% groups)
Report the number of studies included in the review,2,20,Peripheral (<25% groups)
Report the pooled effect size point estimate,2,20,Peripheral (<25% groups)
Report the qualifications of each person who conducted the literature search,2,20,Peripheral (<25% groups)
Report the qualifications of the people who conducted the study selection process,2,20,Peripheral (<25% groups)
Report the rationale for selecting each moderator variable,2,20,Peripheral (<25% groups)
Report the rationale for selecting the strategy used to conduct the statistical synthesis,2,20,Peripheral (<25% groups)
Report the rationale for selecting the studies used to conduct the citation search,2,20,Peripheral (<25% groups)
Report the rationale for selecting the study design of each study included in the review,2,20,Peripheral (<25% groups)
Report the response rate of the total number of authors contacted for data collection,2,20,Peripheral (<25% groups)
Report the result of the exploration of heterogeneity,2,20,Peripheral (<25% groups)
Report the results from the certainty of the evidence assessment,2,20,Peripheral (<25% groups)
Report the results from the publiction bias assessment,2,20,Peripheral (<25% groups)
Report the results of the heterogeneity assessment,2,20,Peripheral (<25% groups)
Report the results of the overall statistical syntheses,2,20,Peripheral (<25% groups)
Report the results of the qualitative syntheses,2,20,Peripheral (<25% groups)
Report the sample size from each of the studies,2,20,Peripheral (<25% groups)
Report the search terms used to conduct the literature search strategy for each registry,2,20,Peripheral (<25% groups)
Report the search terms used to conduct the literature search within the scientific databases,2,20,Peripheral (<25% groups)
Report the software used to manage screening decisions during the study selection process,2,20,Peripheral (<25% groups)
Report the strategy used to address missing data for the variables of interest,2,20,Peripheral (<25% groups)
Report the strategy used to estimate the comprehenisiveness of the literature search strategy,2,20,Peripheral (<25% groups)
Report the strategy used to perform the qualitative synthesis,2,20,Peripheral (<25% groups)
Report the studies which were used to conduct a citation search,2,20,Peripheral (<25% groups)
Report the summary effect size point estimates,2,20,Peripheral (<25% groups)
Report the use of controlled-vocabulary term explosion was conducted in the scientific literature database,2,20,Peripheral (<25% groups)
Report the version number of the review,2,20,Peripheral (<25% groups)
Report the version of the scientific literature databases used to conduct the literature search,2,20,Peripheral (<25% groups)
Report whether the data extraction was conducted independently,2,20,Peripheral (<25% groups)
Report a citation for each of the studies included in the review,1,10,Peripheral (<25% groups)
Report a figure showing the characteristics of each included study,1,10,Peripheral (<25% groups)
Report a flow diagram summarising the outcomes of the study selection process,1,10,Peripheral (<25% groups)
Report a justification for any anticipated changes to the review in future versions,1,10,Peripheral (<25% groups)
Report a justification for any changes done to the methodology,1,10,Peripheral (<25% groups)
Report a logic model for the interventions included in the review,1,10,Peripheral (<25% groups)
Report a measure of interrater agreement for the study selection process,1,10,Peripheral (<25% groups)
Report a plain-language statement for the general public,1,10,Peripheral (<25% groups)
Report a quote from each study used to inform each extracted data characteristic,1,10,Peripheral (<25% groups)
Report a summary of the evidence included in the review,1,10,Peripheral (<25% groups)
Report a table of the characteristics of each included study,1,10,Peripheral (<25% groups)
Report a visualisation of the data characteristics,1,10,Peripheral (<25% groups)
Report a visualisation of the effect size estimates,1,10,Peripheral (<25% groups)
Report a visualisation of the heterogeneity assessment results,1,10,Peripheral (<25% groups)
Report an evaluation of the interventions used in each included study,1,10,Peripheral (<25% groups)
Report an explanation of how the interventions used in each included study may work,1,10,Peripheral (<25% groups)
Report an interpretation of the certainty of evidence,1,10,Peripheral (<25% groups)
Report an interpretation of the effect size measure used,1,10,Peripheral (<25% groups)
Report an interpretation of the heterogeneity assement results,1,10,Peripheral (<25% groups)
Report an interpretation of the publication bias assessment results,1,10,Peripheral (<25% groups)
Report an interpretation of the risk of bias assesment results,1,10,Peripheral (<25% groups)
Report an interpretation of the use of alternative priors,1,10,Peripheral (<25% groups)
Report any additional studies found when updating the literature search strategy,1,10,Peripheral (<25% groups)
Report any alternative effect measures used in the sensitivity analysis,1,10,Peripheral (<25% groups)
Report any anticipated changes to the review in future versions of the review,1,10,Peripheral (<25% groups)
Report any assumptions made about the interventions in each included study,1,10,Peripheral (<25% groups)
Report any assumptions made during the data collection process,1,10,Peripheral (<25% groups)
Report any changes made to the methodology since the previous version of the review,1,10,Peripheral (<25% groups)
Report any changes to the results during the update of the review,1,10,Peripheral (<25% groups)
Report any changes to the screening process results during the update of the review,1,10,Peripheral (<25% groups)
Report any contact with organisations to retrieve additional information relevant to the literature search strategy,1,10,Peripheral (<25% groups)
Report any corrections applied to the effect size measure used,1,10,Peripheral (<25% groups)
Report any identified issues with the individual patient data items extracted,1,10,Peripheral (<25% groups)
Report any issues identified in the individual patient data,1,10,Peripheral (<25% groups)
Report any limitations in the characteristics of the included data,1,10,Peripheral (<25% groups)
Report any limitations in the review methdology,1,10,Peripheral (<25% groups)
Report any peer-review process used to assess the comprehensiveness of the literature search strategy,1,10,Peripheral (<25% groups)
Report any remaining gaps in understanding identified following the review,1,10,Peripheral (<25% groups)
Report any restrictions on the literature search strategy,1,10,Peripheral (<25% groups)
Report any statistical tests used to identify outliers,1,10,Peripheral (<25% groups)
Report any strengths identified in the studies included in the review,1,10,Peripheral (<25% groups)
Report any strengths in the review methodology,1,10,Peripheral (<25% groups)
Report any tools used to translate the scientific literature database search strings into additional languages,1,10,Peripheral (<25% groups)
Report any update to the search strategy undertaken during the review,1,10,Peripheral (<25% groups)
Report any validation of the structure of each model used,1,10,Peripheral (<25% groups)
Report each argument used in each function of the analysis software for the statistical synthesis,1,10,Peripheral (<25% groups)
Report each comparator from which data were extracted in the included studies,1,10,Peripheral (<25% groups)
Report each data extraction variable used for moderator analysis,1,10,Peripheral (<25% groups)
Report each intervention for which data were extracted from the included studies,1,10,Peripheral (<25% groups)
Report each population for which data were extracted from the included studies,1,10,Peripheral (<25% groups)
Report each study design for which data were extracted from the included studies,1,10,Peripheral (<25% groups)
Report how agreement between reviewers for the risk of bias assessment outcomes was calculated,1,10,Peripheral (<25% groups)
Report how articles authored by the screening team were handled during the selection process,1,10,Peripheral (<25% groups)
Report how conflicts of interest were managed,1,10,Peripheral (<25% groups)
Report how crowdsourcing was incorporated into the literature screening process,1,10,Peripheral (<25% groups)
Report how dependent effect sizes were handled during the data collection process,1,10,Peripheral (<25% groups)
Report how dependent effect sizes were handled during the selection process,1,10,Peripheral (<25% groups)
Report how disadvantage was defined in the rationale of the review,1,10,Peripheral (<25% groups)
Report how disagreements among reviewers in the certainty assessment were resolved,1,10,Peripheral (<25% groups)
Report how disagreements between reviewers in screening decisions were resolved,1,10,Peripheral (<25% groups)
Report how disagreements between reviewers in the data extraction were resolved,1,10,Peripheral (<25% groups)
Report how disagreements between reviewers in the risk of bias assessment were resolved,1,10,Peripheral (<25% groups)
Report how missing data in the synthesis was handled in the statistical analyses,1,10,Peripheral (<25% groups)
Report how the automation tool used for the certainty assessment was trained automaton tool was trained,1,10,Peripheral (<25% groups)
Report how the automation tool used for the risk of bias assessment was trained automaton tool was trained,1,10,Peripheral (<25% groups)
Report how the automation tool used for the risk of bias assessment was trained automaton tool was validated,1,10,Peripheral (<25% groups)
Report how the error around the effect size estimate was calculated,1,10,Peripheral (<25% groups)
Report how the fragility index was calculated,1,10,Peripheral (<25% groups)
Report how the internally classified automation tool for the data collection process was trained,1,10,Peripheral (<25% groups)
Report how the internally classified automation tool for the data collection process was validated,1,10,Peripheral (<25% groups)
Report how the internally classified automation tool used in the selection process was trained,1,10,Peripheral (<25% groups)
Report how the internally classified automation tool used in the selection process was validated,1,10,Peripheral (<25% groups)
Report how the risk of bias assessment was incorporated into the statistical synthesis,1,10,Peripheral (<25% groups)
Report how zero-event data were handled during the statistical synthesis,1,10,Peripheral (<25% groups)
Report quotations for each characteristic extracted from each included study,1,10,Peripheral (<25% groups)
Report references to previous versions of the review,1,10,Peripheral (<25% groups)
Report references to previously published reviews on the topic,1,10,Peripheral (<25% groups)
Report the agreement rate between the reviewers who conducted the literature screening process,1,10,Peripheral (<25% groups)
Report the automation tool used in the literature screening process,1,10,Peripheral (<25% groups)
Report the chosen prior,1,10,Peripheral (<25% groups)
Report the code required to reproduce the statistical synthesis,1,10,Peripheral (<25% groups)
Report the conceptual structure used to design the Boolean operators in the literature database search,1,10,Peripheral (<25% groups)
Report the conditions under which the data are available,1,10,Peripheral (<25% groups)
Report the consistency of literature screening outcomes between reviewers,1,10,Peripheral (<25% groups)
Report the contact details for the corresponding authors,1,10,Peripheral (<25% groups)
Report the counts of events and non-events in each group within each study,1,10,Peripheral (<25% groups)
Report the data which the citation search was conducted,1,10,Peripheral (<25% groups)
Report the date that the scientific literature databases used to conduct the literature search,1,10,Peripheral (<25% groups)
Report the dates that the literature database search was conducted,1,10,Peripheral (<25% groups)
Report the dependency structure accounted for in the statistical synthesis,1,10,Peripheral (<25% groups)
Report the direction of the effect size estimate,1,10,Peripheral (<25% groups)
Report the direction of the pooled effect size point estimate,1,10,Peripheral (<25% groups)
Report the directionality of the summary effect size measure found in the review,1,10,Peripheral (<25% groups)
Report the effect size point estimates for each individual study,1,10,Peripheral (<25% groups)
Report the eligibility criteria for the statistical synthesis,1,10,Peripheral (<25% groups)
Report the error around the effect size estimate was calculated,1,10,Peripheral (<25% groups)
Report the error around the effect size point estimates,1,10,Peripheral (<25% groups)
Report the error around the effect size point estimates for each individual study,1,10,Peripheral (<25% groups)
Report the error around the effect size point estimates for each meta-regression,1,10,Peripheral (<25% groups)
Report the error around the pooled effect size point estimates,1,10,Peripheral (<25% groups)
Report the extent to which the conclusions are generalisable,1,10,Peripheral (<25% groups)
Report the formulae used to calculate the effect measure used in the synthesis of results,1,10,Peripheral (<25% groups)
Report the functions used in the analysis software for the statistical synthesis,1,10,Peripheral (<25% groups)
Report the graphical method used to assess publication bias,1,10,Peripheral (<25% groups)
Report the hypothesis addressed by the review,1,10,Peripheral (<25% groups)
Report the implications of missing data for the review,1,10,Peripheral (<25% groups)
Report the implications of the result of the review,1,10,Peripheral (<25% groups)
Report the implications of the review results for educators,1,10,Peripheral (<25% groups)
Report the institutional subscriptions used to access the scientific literature databases,1,10,Peripheral (<25% groups)
Report the interventions used in each study synthesised in the review,1,10,Peripheral (<25% groups)
Report the keywords used in the study,1,10,Peripheral (<25% groups)
Report the languages used in the registries and literature databases,1,10,Peripheral (<25% groups)
Report the living mode parameters,1,10,Peripheral (<25% groups)
Report the magnitude of the pooled effect size point estimate,1,10,Peripheral (<25% groups)
Report the measures of model performance,1,10,Peripheral (<25% groups)
Report the metadata associated with each data extraction variable,1,10,Peripheral (<25% groups)
Report the method used to assess study eligibility for inclusion in the statistical synthesis,1,10,Peripheral (<25% groups)
Report the method used to handle missing data in the statistical synthesis,1,10,Peripheral (<25% groups)
Report the methodology of the qualitative synthesis,1,10,Peripheral (<25% groups)
Report the methodology used to account for heteroscedasticity,1,10,Peripheral (<25% groups)
Report the methodology used to assess heterogeneity,1,10,Peripheral (<25% groups)
Report the methodology used to assess the certainty of evidence included in the review,1,10,Peripheral (<25% groups)
Report the methodology used to assess the certainty of the evidence included in the review,1,10,Peripheral (<25% groups)
Report the methodology used to conduct the review in the keywords,1,10,Peripheral (<25% groups)
Report the methodology used to identify key knowledge gaps among the included data characteristics,1,10,Peripheral (<25% groups)
Report the methodology used to obtain posterior inferences,1,10,Peripheral (<25% groups)
Report the methodology used to update the literature search strategy,1,10,Peripheral (<25% groups)
Report the methods used to formulate recommendations regarding the suitability of OMIs,1,10,Peripheral (<25% groups)
Report the number of individual patient data items extracted,1,10,Peripheral (<25% groups)
Report the number of records remaining after duplicate removal,1,10,Peripheral (<25% groups)
Report the number of reviewers who conducted the certainty of evidence assessment,1,10,Peripheral (<25% groups)
Report the number of studies for which data collection was cross-checked,1,10,Peripheral (<25% groups)
Report the number of studies included in the statistical syntheis,1,10,Peripheral (<25% groups)
Report the number of studies screened by more than one reviewer,1,10,Peripheral (<25% groups)
Report the organisations contacted to obtain information,1,10,Peripheral (<25% groups)
Report the outcomes used in each study included in the statistical synthesis,1,10,Peripheral (<25% groups)
Report the p-value associated with the summary effect estimate,1,10,Peripheral (<25% groups)
Report the p-value for the heterogeneity assessment results,1,10,Peripheral (<25% groups)
Report the p-value for the results of the publication bias assessment,1,10,Peripheral (<25% groups)
Report the people who conducted the statistical synthesis,1,10,Peripheral (<25% groups)
Report the performance of the automation tool used to assess the risk of bias,1,10,Peripheral (<25% groups)
Report the planned retirement for the review,1,10,Peripheral (<25% groups)
Report the planned review timeline as specified in the protocol or preregistration,1,10,Peripheral (<25% groups)
Report the planned schedule for updating the review,1,10,Peripheral (<25% groups)
Report the populations used in each study included in the statistical synthesis,1,10,Peripheral (<25% groups)
Report the potential impact of the limitations in the review process,1,10,Peripheral (<25% groups)
Report the potential implications of the review findings,1,10,Peripheral (<25% groups)
Report the power of the statistical synthesis,1,10,Peripheral (<25% groups)
Report the precision of the heterogeneity assessment results,1,10,Peripheral (<25% groups)
Report the primary results of the review,1,10,Peripheral (<25% groups)
Report the process used to select the model parameters in the statistical synthesis,1,10,Peripheral (<25% groups)
Report the purpose of the literature search,1,10,Peripheral (<25% groups)
Report the qualifications of each author,1,10,Peripheral (<25% groups)
Report the qualifications of the reviewers who conducted the data collection process,1,10,Peripheral (<25% groups)
Report the rationale for each risk of bias assessment judgement,1,10,Peripheral (<25% groups)
Report the rationale for including each study in relation to the objectives of the review,1,10,Peripheral (<25% groups)
Report the rationale for including the selected interventions in the studies included in the review,1,10,Peripheral (<25% groups)
Report the rationale for including the selected study designs in the eligibility criteria,1,10,Peripheral (<25% groups)
Report the rationale for not conducting a statistical synthesis,1,10,Peripheral (<25% groups)
Report the rationale for selecting study authors to contact for additional information,1,10,Peripheral (<25% groups)
Report the rationale for selecting the effect size measure used,1,10,Peripheral (<25% groups)
Report the rationale for selecting the methodology used to visualise the synthesis results,1,10,Peripheral (<25% groups)
Report the rationale for selecting the models used in the statistical synthesis,1,10,Peripheral (<25% groups)
Report the rationale for selecting the moderator variables included in the review,1,10,Peripheral (<25% groups)
Report the rationale for selecting the tool used to conduct the risk of bias assessment,1,10,Peripheral (<25% groups)
Report the rationale for the assumed dependency structure accounted for in the statistical synthesis,1,10,Peripheral (<25% groups)
Report the rationale for the eligibility criteria in the review,1,10,Peripheral (<25% groups)
Report the rationale for the methodology used to address missing data in the statistical synthesis,1,10,Peripheral (<25% groups)
Report the rationale for the results of the certainty of evidence assessement used in the review,1,10,Peripheral (<25% groups)
Report the records rejected by the automation tools during the literature screening process,1,10,Peripheral (<25% groups)
Report the relationship between each of the study characteristics,1,10,Peripheral (<25% groups)
Report the relevant data formats in eligibility criteria of the review,1,10,Peripheral (<25% groups)
Report the relevant outcomes in eligiblity criteria of the review,1,10,Peripheral (<25% groups)
Report the relevant publication status in eligiblity criteria of the review,1,10,Peripheral (<25% groups)
Report the reliability of the collected items based on challenges during the data collection process,1,10,Peripheral (<25% groups)
Report the reliability of the conclusion in the review,1,10,Peripheral (<25% groups)
Report the reporting guideline used for the review,1,10,Peripheral (<25% groups)
Report the results from the model selection process,1,10,Peripheral (<25% groups)
Report the results of any analysis conducted due to the living mode,1,10,Peripheral (<25% groups)
Report the results of the model selection,1,10,Peripheral (<25% groups)
Report the results of the model selection process,1,10,Peripheral (<25% groups)
Report the reuse of search strategies from other reviews,1,10,Peripheral (<25% groups)
Report the role of stakeholders in formulating the objectives of the review,1,10,Peripheral (<25% groups)
Report the screening decisions made by each reviewer who conducted the study selection process,1,10,Peripheral (<25% groups)
Report the search strategy used to identify grey literature,1,10,Peripheral (<25% groups)
Report the software packages used to perform the statistical synthesis,1,10,Peripheral (<25% groups)
Report the software used to conduct the data collection process,1,10,Peripheral (<25% groups)
Report the software used to deduplicate the search records during the literature search,1,10,Peripheral (<25% groups)
Report the software used to perform the statistical synthesis,1,10,Peripheral (<25% groups)
Report the source of the extracted data within the included study,1,10,Peripheral (<25% groups)
Report the sources of information the literature search strategy sought,1,10,Peripheral (<25% groups)
Report the strategy for the data collection process,1,10,Peripheral (<25% groups)
Report the strategy to perform the individual patient data statistical syntheses,1,10,Peripheral (<25% groups)
Report the strategy used to deduplicate the search records during the scientific database search,1,10,Peripheral (<25% groups)
Report the strategy used to develop the scientific literature database search string,1,10,Peripheral (<25% groups)
Report the strategy used to retrieve information from potentially relevant authors.,1,10,Peripheral (<25% groups)
Report the strategy used to search for literature in additional languages,1,10,Peripheral (<25% groups)
Report the structure of each model used in the statistical synthesis,1,10,Peripheral (<25% groups)
Report the studies included in the statistical synthesis,1,10,Peripheral (<25% groups)
Report the study design of each study included in the review,1,10,Peripheral (<25% groups)
Report the summary effect size point estimates for each meta-regression,1,10,Peripheral (<25% groups)
Report the time frame which data was extracted,1,10,Peripheral (<25% groups)
Report the tool used to conduct the risk of bias assessment,1,10,Peripheral (<25% groups)
Report the tools used to conduct the certainity of evidence assessment,1,10,Peripheral (<25% groups)
Report the total number of authors contacted for information regarding the data collection process,1,10,Peripheral (<25% groups)
Report the total number of authors contacted for information regarding the study selection process,1,10,Peripheral (<25% groups)
Report the total number of authors who did not provide information when contacted,1,10,Peripheral (<25% groups)
Report the total number of organisational websites used to conduct the literature search,1,10,Peripheral (<25% groups)
Report the total number of registries used to conduct the literature search,1,10,Peripheral (<25% groups)
Report the total number of scientific literature databases used to conduct the literature search,1,10,Peripheral (<25% groups)
Report the total number of studies included in the review,1,10,Peripheral (<25% groups)
Report the total number of studies used in the heterogeneiety investigation,1,10,Peripheral (<25% groups)
Report the type of data extracted from each of the included studies,1,10,Peripheral (<25% groups)
Report the type of replication unit,1,10,Peripheral (<25% groups)
Report the use of an additional filters on the search in conjunction with the search terms,1,10,Peripheral (<25% groups)
Report the use of any guidelines used to inform the conduct of the review,1,10,Peripheral (<25% groups)
Report the use of any internally classified automation tool(s) in the data collection process,1,10,Peripheral (<25% groups)
Report the use of any internally classified automation tool(s) in the literature screening process,1,10,Peripheral (<25% groups)
Report the use of automation tool(s) in the literature screening process,1,10,Peripheral (<25% groups)
Report the use of automation tools in designing the boolean operators in the literature database search,1,10,Peripheral (<25% groups)
Report the use of automation tools in risk of bias assessment,1,10,Peripheral (<25% groups)
Report the use of automation tools in the certainty of evidence assessment,1,10,Peripheral (<25% groups)
Report the use of automation tools in the data extraction process,1,10,Peripheral (<25% groups)
Report the use of automation tools in the risk of bias assessment,1,10,Peripheral (<25% groups)
Report the use of automation tools were used in the literature screening process,1,10,Peripheral (<25% groups)
Report the use of crowdsourcing in the literature screening process,1,10,Peripheral (<25% groups)
Report the use of previously extracted databases in the data extraction process,1,10,Peripheral (<25% groups)
Report the use of previously screened databases in the literature screening process,1,10,Peripheral (<25% groups)
Report the version number of the software used to perform the statistical analysis,1,10,Peripheral (<25% groups)
Report the version of automation tool(s) used in the literature screening process,1,10,Peripheral (<25% groups)
Report the version of the internally classified automation tool(s) used in the data collection process,1,10,Peripheral (<25% groups)
Report the version of the internally classified automation tool(s) used in the literature screening process,1,10,Peripheral (<25% groups)
Report the weighting strategy for effect size estimates in the synthesis,1,10,Peripheral (<25% groups)
Report the year that studies which were used to conduct the citation search were published,1,10,Peripheral (<25% groups)
Report what triggered the current version of the living systematic review,1,10,Peripheral (<25% groups)
Report whether any of the planned statistical analysis could not be performed,1,10,Peripheral (<25% groups)
Report whether certainty of evidence was conducted independently,1,10,Peripheral (<25% groups)
Report whether individual patient or equivalent data was extracted,1,10,Peripheral (<25% groups)
Report whether risk of bias assessment was conducted independently,1,10,Peripheral (<25% groups)
Report whether the contacted authors provided the data in its entirity or only a proportion,1,10,Peripheral (<25% groups)
Report whether the data extraction variables were selected a priori,1,10,Peripheral (<25% groups)
Report whether the literature search strategy was systematic,1,10,Peripheral (<25% groups)
Report whether the prior was specified before data collection,1,10,Peripheral (<25% groups)
Report whether the review intends to be retired after the current version,1,10,Peripheral (<25% groups)
Report whether the risk of bias assessment was updated after the initial assessment,1,10,Peripheral (<25% groups)
Report which bibliographic fields were searched in each database,1,10,Peripheral (<25% groups)
Report which estimator was used to calculate the between-study variance,1,10,Peripheral (<25% groups)
Report which of the objectives are primary and which are secondary,1,10,Peripheral (<25% groups)
Section heading,1,10,Peripheral (<25% groups)
