key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id,PDF.files,X..,title2
rayyan-322867239,A novel approach based on crow search algorithm for optimal selection of conductor size in radial distribution networks,2017,4,,ENGINEERING SCIENCE AND TECHNOLOGY-AN INTERNATIONAL JOURNAL-JESTECH,2215-0986,20,2,391-402,"Abdelaziz, Almoataz Y. and Fathy, Ahmed",,English,ELSEVIER - DIVISION REED ELSEVIER INDIA PVT LTD,"17-A/1 MAIN RING ROAD, LAJPAT NAGAR IV, NEW DELHI, 110024, INDIA","The selection process of conductor size in radial distribution network is very essential issue to improve the performance of the network. The true conductor size selection leads to less power loss, achieve improvement of the bus voltage profile and obtain reduction in the annual operating cost of the system. This paper proposes a novel approach based on crow search algorithm (CSA) for optimal selection of the conductors in a radial distribution network. The CSA is a recent meta-heuristic algorithm which is based on the intelligent behavior of crows. The objective function presented in our work is the sum of conductor capital cost and the conductor energy loss cost. The proposed constraints are bus voltage limits and the current capacity of the conductor. The independent variables are the type and the size of conductor such that minimizing the proposed objective function. The proposed approach is applied on two different network topologies, the first one is 16-bus system and the second is large scale system of 85-bus system. A sensitivity analysis of the CSA controlling parameters are also studied for 16-bus system. The obtained results via CSA are compared to previous works' results; the CSA results encourage the usage of the proposed approach in optimal selecting the conductor type and size in the distribution network. (C) 2017 Karabuk University. Publishing services by Elsevier B.V.",,10.1016/j.jestch.2017.02.004,Optimal conductor size; Crow search algorithm; Distribution network,NA,,NA,NA,a novel approach based on crow search algorithm for optimal selection of conductor size in radial distribution networks
rayyan-322867240,Enhanced graph convolutional network based on node importance for document-level relation extraction,2022,9,,NEURAL COMPUTING \& APPLICATIONS,0941-0643,34,18,15429-15439,"Sun, Qi and Zhang, Kun and Huang, Kun and Li, Xun and Zhang, Ting and Xu, Tiancheng",,English,SPRINGER LONDON LTD,"236 GRAYS INN RD, 6TH FLOOR, LONDON WC1X 8HL, ENGLAND","Document-level relation extraction aims to reason complex semantic relations among entities expressed by multiple associated mentions in a document. Existing methods construct document-level graphs to model interactions between entities. However, these methods only pay attention to the connection relationship of nodes, yet ignore the importance of nodes decided by topological structure. In this paper, we propose a novel method, named Enhanced Graph Convolutional Network (EGCN), to extract document-level relations. Unlike previous methods that only model the connection relationship between two nodes, we further exploit the global topological structural information by measuring node importance. We merge these non-local relationship into a Graph Convolutional Network to aggregate relevant information. In addition, to model semantic and syntactic interactions in documents, we design a novel strategy to construct document-level heterogeneous graphs with different types of edges. Experimental results demonstrate that our EGCN outperforms the previous models by 5.54\%, 1.7\%, and 2.9\% F-1 on three public document-level relation extraction datasets.",,10.1007/s00521-022-07223-3,Graph convolutional network; Document-level relation extraction; PageRank; Node importance; BERT,NA,,NA,NA,enhanced graph convolutional network based on node importance for documentlevel relation extraction
rayyan-322867241,Intelligent information extraction from government on-site inspection reports of construction projects: A graph-based text mining approach,2023,10,,ADVANCED ENGINEERING INFORMATICS,1474-0346,58,NA,,"Liu, Muyang and Luo, Xiaowei and Wang, Guangbin and Lu, Wei-Zhen",,English,ELSEVIER SCI LTD,"125 London Wall, London, ENGLAND","Government inspection reports detail unsafe acts and conditions that arise on construction sites, especially front-line managers' non-compliance practices, which are hardly identified during self-inspections. Such information serves as a valuable learning source for better construction management. However, non-compliance issue records in inspection reports are typically stored in unstructured text formats, making data analysis challenging. In response, an intelligent text mining framework integrating graph analysis and visualization is presented. The proposed framework comprises data collection and preprocessing and three levels of text analysis: word, sen-tence, and document. The main tasks of the word-level analysis include (1) extracting keywords using KeyBERT and (2) identifying non-compliance issue types based on community detection in a keyword co-occurrence graph. The sentence-level analysis is performed to automatically classify text data from inspection reports by deter-mining the degree of similarity between texts and communities and assigning the most similar community to each text. The document-level analysis aims to identify the interrelations between various non-compliance issues through association rule mining and a community interaction network. The framework is validated by a total of 6,153 text data featuring non-compliance issues from 322 government on-site inspection reports in Shanghai, China. The results demonstrate that the critical word-level features of non-compliance issues can be accurately identified using KeyBert, which outperforms other state-of-the-art methods. Our approach can also automate the development of a data-driven taxonomy for non-compliance issues and the classification of the corresponding records, requiring less manual intervention than conventional text classification models.",,10.1016/j.aei.2023.102163,Government on-site inspection; Non-compliance issues; Graph-based representation; Community detec...,NA,,NA,NA,intelligent information extraction from government onsite inspection reports of construction projects a graphbased text mining approach
rayyan-322867243,Lead Airgun Projectiles Inside the Maxillary Sinuses-Therapeutic Approaches through the Years: A Systematic Review of Case Reports,2021,12,,APPLIED SCIENCES-BASEL,,11,24,,"Checinski, Maciej and Zadka, Pawel and Nowak, Zuzanna and Mokrysz, Jakub and Checinska, Kamila and Sikora, Maciej and Chlubek, Dariusz",,English,MDPI,"MDPI AG, Grosspeteranlage 5, CH-4052 BASEL, SWITZERLAND","Background: Shots from commonly available non-gunpowder weapons are a significant cause of facial injuries, especially in pediatric patients. A consequence of such trauma may be the placement of a projectile within the maxillary sinus, which is a therapeutic need with no guidelines for foreign body removal. The purpose of this paper is to discuss the etiology, epidemiology, diagnosis, treatment and prognosis of such cases. Materials and methods: Any cases describing the presence of airgun pellets within the maxillary sinus were included. Animal patients and non-English cases were excluded. The final search using the PubMed, BASE and Google Scholar engines was made on 13 November 2021. The JBI Critical Appraisal Checklist for Case Reports was used to assess the risk of bias. The collected data are presented in tabular form and were subjected to a comparative assessment. Results: In total, reports of seven cases of lead airgun projectiles in the maxillary sinuses were identified, qualified and analyzed. There were no cases of lead intoxication. The bullets were removed by open surgery in the form of antrostomy of the maxillary sinus or with the use of an endoscope. In none of the described cases were complications observed during surgery or postoperative observation. Discussion: This systematic review was based on case reports that differed significantly in quality. The location of the lead foreign body within the maxillary sinuses may be considered favorable over other craniofacial gunshots. The risk of lead intoxication does exist, but such a location of the bullets does not favor it. The removal of projectiles from the maxillary sinuses appears to be easily achievable and does not predispose one to complications.",,10.3390/app112411809,penetrating head injuries; gunshot wounds; foreign bodies; lead poisoning; maxillary sinus,NA,,NA,NA,lead airgun projectiles inside the maxillary sinusestherapeutic approaches through the years a systematic review of case reports
rayyan-322867244,Wheelchair service provision content in professional rehabilitation organisations' standards documents and contemporary initiatives: a rapid review,2024,1,,DISABILITY AND REHABILITATION-ASSISTIVE TECHNOLOGY,1748-3107,19,1,78-89,"Goldberg, Mary and Rushton, Paula and Kirby, R. Lee and Munera, Sara and Kandavel, Krithika and Pearlman, Jonathan and Tawashy, Amira",,English,TAYLOR \& FRANCIS INC,"530 WALNUT STREET, STE 850, PHILADELPHIA, PA 19106 USA","Purpose We sought to identify opportunities, challenges, contemporary initiatives and strategies for preparing entry-level practitioners who are competent at the basic level of wheelchair service provision across four key international professional rehabilitation organisations as revealed by their educational standards, relevant guidelines and policy statements, and other publicly available information. Method A rapid review was conducted in 2021 from the International Society of Physical and Rehabilitation Medicine (ISPRM), the International Society for Prosthetics and Orthotics (ISPO), World Physiotherapy, and the World Federation of Occupational Therapists (WFOT). Additional grey-literature and grey-data searches were conducted to identify contemporary initiatives that may support competency development in wheelchair service provision. Results A total of 17 standards, guidelines, and policy statement documents were selected for detailed review. Each of the four organisations published at least one document containing language relating to wheelchair service provision. Twelve contemporary initiatives relating to wheelchair service provision were identified from the grey literature across the four organisations. Six additional initiatives were identified from the organisations' social media accounts. Themes emerged in the areas of contemporary content, opportunities, and challenges. Conclusion Global standardisation could help harmonise professional societies' approach to training wheelchair service providers.",,10.1080/17483107.2022.2063421,Wheelchair; wheelchair service provision; education standards; training; service standards; profe...,NA,,NA,NA,wheelchair service provision content in professional rehabilitation organisations standards documents and contemporary initiatives a rapid review
rayyan-322867245,An Overview of the AVMA Working Group on the Psychological Impacts of Humane Endings and Related Guidance Documents,2022,4,,JOURNAL OF ANIMAL SCIENCE,0021-8812,100,NA,202,"Kollias, Nathaniel S.",,English,OXFORD UNIV PRESS INC,"JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA",,,10.1093/jas/skac064.342,,NA,,NA,NA,an overview of the avma working group on the psychological impacts of humane endings and related guidance documents
rayyan-322867246,Emerging approaches since design for theorization and creation of transmedia experiences. Approximation to meta-analysis of scientific publications,2020,10,,ARTE INDIVIDUO Y SOCIEDAD,1131-5598,32,4,1039-1064,"Beltran-Arismendi, Carlos",,Spanish,"UNIV COMPLUTENSE MADRID, SERVICIO PUBLICACIONES","CIUDAD UNIV, OBISPO TREJO 3, MADRID, 28040, SPAIN","The main objective of this document is to identify the existence of predominant and emerging approaches in the design of transmedia experiences, in order to contribute from different perspectives to the transmedia concept from the modes of involvement of audiences. The bibliometric analysis is done of a total of 559 articles consolidated from the literature search carried out in WoS on the ISI Web of Knowledge platform (Thomson Reuters) and SCImago Research Group (Scopus). For the observation window 2008-2019, the indicators are analyzed: diachronic productivity, author productivity, citations and content. In the results, an exponential growth of the publications is observed until its peak in 2016, as well as its subsequent stability; similarly, the creation of author networks for collaborative production and the achievement of common goals is evident; and a tendency to cite the conventional literature existing outside the sample documents is also identified. The conclusions establish the interest of the academic community for the design of transmedia experiences and the participation of audiences as content that is transversal to the sample and not as a central theme of study.",,10.5209/aris.66552,Transmedia design; design experience; audience participation; meta-analysis; collaboration networks,NA,,NA,NA,emerging approaches since design for theorization and creation of transmedia experiences approximation to metaanalysis of scientific publications
rayyan-322867247,Context and Implications Document for: Death and Dying: A Systematic Review into Approaches Used to Support Bereaved Children,2020,6,,REVIEW OF EDUCATION,2049-6613,8,2,480-485,"Duncan, David A.",,English,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",,,10.1002/rev3.3194,,NA,,NA,NA,context and implications document for death and dying a systematic review into approaches used to support bereaved children
rayyan-322867248,The advantage of dual-column approach and retention indices combined with refined reporting in gas chromatographic drug screening,1996,6,,HRC-JOURNAL OF HIGH RESOLUTION CHROMATOGRAPHY,0935-6304,19,6,313-321,"Rasanen, I and Ojanpera, I and Vartiovaara, J and Vuori, E and Sunila, P",,English,DR ALFRED HUTHIG VERLAG GMBH,"POSTFACH 102869, W-69018 HEIDELBERG 1, GERMANY","A dual-column gas chromatographic retention index method was evaluated for the toxicological screening for basic drugs in autopsy blood samples, The dual-column approach with DB-5 and DB-1701 capillary columns doubles the Identification Power of the corresponding single column methods, The long-term intralaboratory variation of the dialkylfluoroaniline series based retention indices of drugs in blood ranged from 0.03\% to 0.2\%, which was generally better than that obtained using the relative retention time, Novel software is described for the processing and reporting of the dual-column chromatographic data in analytically useful form, Besides retention data, the response factors served as an additional identification factor.",,,capillary GC; drag screening; retention index; reporting; mean list length; blood analysis,NA,,NA,NA,the advantage of dualcolumn approach and retention indices combined with refined reporting in gas chromatographic drug screening
rayyan-322867251,"An Innovative Approach to classify and Retrieve Text Documents Using Feature Extraction and Hierarchical Clustering Based on Ontology - 2016 INTERNATIONAL CONFERENCE ON COMPUTING, ANALYTICS AND SECURITY TRENDS (CAST)",2016,NA,,,,NA,NA,371-376,"Patil, Aradhana R. and Manjrekar, Amrita A.",,English,IEEE,"345 E 47TH ST, NEW YORK, NY 10017 USA","Data retrieval is a key process of acquiringinformation as per requirement. The necessity of proper information has increased. The most basic tools which provide this service are browser. It traverses the data as per user's query and gives the search results of all related information. Hence, it becomes a time consuming process to find required information. In this paper, the focus is done on content based data mining using ontology and text feature extraction. Content based data mining process focuses on domain of the data. Ontology, itself is a domain based data set information system that will help to achieve required data retrieval in a more appropriate way. The proposed system uses k means clustering algorithm for creation of flat clusters. Flat clusters are the primary classification or clusters of data that are used for Hierarchical clustering. For the proposed system Hierarchical Fuzzy Relational Eigenvector Centrality-based Clustering Algorithm (HFRECCA) is used. This technique of clustering is very fast and gives more accurate results. For more appropriate data retrieval, this system uses textfeature extraction algorithm. This algorithm will help to reduce the noisy data from data sets. A noise free data will help to perform better data retrieval process. Implemented system works over various types of text file such as PDF,. txt, DOC, DOCX. This system is also compatible with other types of files like WebPages, images etc.","International Conference on Computing, Analytics and Security Trends (CAST), Pune, INDIA, DEC 19-21, 2016",,Domain ontology; Text data; Feature extraction; Flat clusters; Hierarchical clustering; informati...,NA,,NA,NA,an innovative approach to classify and retrieve text documents using feature extraction and hierarchical clustering based on ontology 2016 international conference on computing analytics and security trends cast
rayyan-322867253,Exploring the Use of Pictorial Approaches in the Development of Paediatric Patient-Reported Outcome Instruments: A Systematic Review,2024,6,,PHARMACOECONOMICS,1170-7690,42,NA,Sep-37,"Mpundu-Kaambwa, Christine and Bulamu, Norma B. and Lines, Lauren and Chen, Gang and Whitehurst, David G. T. and Dalziel, Kim and Devlin, Nancy and Ratcliffe, Julie and Evidence, Quality Life Kids Key",,English,ADIS INT LTD,"5 THE WAREHOUSE WAY, NORTHCOTE 0627, AUCKLAND, NEW ZEALAND","IntroductionChildren may find self-reporting health-related quality of life (HRQoL) using patient-reported outcome measures (PROMs) presented in text-based formats difficult, particularly younger children and children with developmental delays or chronic illness. In such cases, pictorial PROMs (where pictorial representations are used alongside or to replace text) may offer a valid alternative.AimThis systematic literature review focused on identifying and describing paediatric PROMs that incorporate pictorial approaches, providing children with more effective means to express their HRQoL.MethodsPreferred Reporting Items for Systematic Reviews and Meta-Analyses guidelines were followed. Seven electronic databases were searched from inception to 1 March 2022. There were no country restrictions applied to the search; all English-language studies were considered for inclusion in the review. Characteristics and development methods of the identified pictorial PROMs were evaluated against context-specific good practice guidelines published by The Professional Society for Health Economics and Outcomes Research (ISPOR).ResultsA total of 22 paediatric pictorial PROMs, comprising 28 unique versions, were identified. These PROMs were predominantly developed in the USA and the UK, targeting children aged 3-18 years. Likert scales with pictorial anchors, particularly happy-sad faces, were commonly used for response options, appearing in 15 (54\%) of the PROMs. Various graphic methods, such as happy-sad faces, cartoons, and thermometers, were adapted to specific content domains. These PROMs covered a wide range of domains, including physical and emotional health and social functioning. Emphasis was placed on content validity, including active child participation in developing pictorial elements. Notably, children's participation was sought during the development of the pictorial elements for 13 (46\%) of the PROMs. Various development methods were employed, with 43\% of paediatric PROMs using literature reviews, 43\% using focus groups, and 32\% involving expert consultation. Interviews emerged as the primary method, being employed in 61\% of the studies. Additionally, three measures specifically addressed cross-cultural considerations.ConclusionPaediatric pictorial PROMs offer child-friendly tools for assessing HRQoL for application with children who find reading and understanding text-based PROMs challenging. There is some evidence that pictorial PROMs facilitate self-report in this population and improve measurement properties compared to text-only PROMs. Further research is needed to develop, validate, and test paediatric pictorial PROMs, with an emphasis on including children from the inception in the co-design process.",,10.1007/s40273-024-01357-z,,NA,,NA,NA,exploring the use of pictorial approaches in the development of paediatric patientreported outcome instruments a systematic review
